vp,block,trial,type,row,rel,eva,primcol,tarcol,prime,target,response,rt,NA
90,1,27,test,4,syn,neg,b_neg_1,b_neg_2,KORRUPT,KÄUFLICH,positiv,1.1505961377664862,NA
90,1,28,test,21,syn,pos,a_pos_1,a_pos_2,VERTRAUT,NAH,negativ,0.8446147398995693,NA
90,1,29,test,26,eval,neg,a_neg_2,b_neg_1,MISSGÜNSTIG,UNLUSTIG,positiv,1.1800764966920243,NA
90,1,30,test,1,ant,neg,b_pos_1,b_neg_2,FREI,EINGESPERRT,positiv,0.8395055173899418,NA
90,1,31,test,19,un,neg,b_pos_1,a_neg_2,HELL,GESCHIEDEN,negativ,0.8604917671741408,NA
90,1,32,test,12,eval,neg,a_neg_1,b_neg_1,SCHÜCHTERN,FAD,positiv,0.9005524596705491,NA
90,1,33,test,10,ant,neg,a_pos_1,a_neg_1,BESTÄNDIG,WECHSELHAFT,negativ,0.7482797026333234,NA
90,1,34,test,5,ant,neg,b_pos_2,b_neg_1,PRÄZISE,UNORDENTLICH,positiv,0.7531707944020145,NA
90,1,35,test,13,syn,neg,a_neg_2,a_neg_1,GEMEIN,UNFREUNDLICH,negativ,0.6930447591603135,NA
90,1,36,test,27,ant,pos,b_neg_1,b_pos_2,WANKELMÜTIG,STETIG,positiv,1.16767554948749,NA
90,1,37,test,9,eval,pos,b_pos_1,a_pos_2,ELEGANT,TAPFER,negativ,0.7334091798167591,NA
90,1,38,test,17,ant,pos,b_neg_1,b_pos_2,EINTÖNIG,SPANNEND,negativ,0.8681402081493611,NA
90,1,39,test,18,syn,neg,a_neg_2,a_neg_1,UNBARMHERZIG,KALT,positiv,0.5510909483953661,NA
90,1,40,test,26,ant,pos,b_neg_2,b_pos_1,UNWITZIG,KOMISCH,positiv,0.9299283083490937,NA
90,1,41,test,1,un,pos,a_neg_2,b_pos_2,UNPOPULÄR,UNGEZWUNGEN,-1,3.0285457620801877,NA
90,1,42,test,3,un,neg,a_pos_2,b_neg_1,BEGEISTERT,GIERIG,positiv,0.9584504773567691,NA
90,1,43,test,2,eval,pos,a_pos_1,b_pos_2,SCHLANK,DISKRET,negativ,1.2439013832595183,NA
90,1,44,test,16,syn,pos,a_pos_2,a_pos_1,GALANT,ZUVORKOMMEND,positiv,0.9138360976455797,NA
90,1,45,test,11,syn,neg,a_neg_2,a_neg_1,GEREIZT,LAUNISCH,negativ,0.7559550813262442,NA
90,1,46,test,8,un,pos,b_neg_1,a_pos_1,KAPUTT,RUHIG,negativ,0.9441334145052348,NA
90,1,47,test,0,eval,neg,b_neg_1,a_neg_2,STREITSUCHEND,NEGATIV,positiv,0.8530022380413473,NA
90,1,48,test,20,ant,pos,b_neg_1,b_pos_1,SCHMUTZIG,SAUBER,negativ,0.8596316091269401,NA
90,1,49,test,24,un,pos,b_neg_1,a_pos_2,BILLIG,ZART,negativ,1.1301260075467536,NA
90,1,50,test,19,eval,pos,a_pos_2,b_pos_1,GEMEINSAM,HELL,positiv,0.816319391330098,NA
90,1,51,test,12,eval,pos,a_pos_1,b_pos_2,GESELLIG,KÖSTLICH,positiv,0.8546213587276036,NA
90,1,52,test,15,eval,neg,a_neg_1,b_neg_1,GEDANKENLOS,ÖDE,negativ,0.8068344751940344,NA
90,1,53,test,7,ant,pos,b_neg_2,b_pos_1,TÜCKISCH,TREU,positiv,0.923442920620873,NA
90,1,54,test,14,syn,neg,b_neg_1,b_neg_2,UNVERNÜNFTIG,TÖRICHT,negativ,0.7883854001615013,NA
90,1,55,test,6,syn,pos,a_pos_2,a_pos_1,ZUVERSICHTLICH,OPTIMISTISCH,negativ,0.837374718402403,NA
90,1,56,test,22,ant,pos,b_neg_1,b_pos_2,NACHLÄSSIG,SORGFÄLTIG,positiv,0.6013428671453694,NA
90,1,57,test,21,un,neg,a_pos_1,b_neg_1,VERTRAUT,BLÖD,negativ,0.6257519572381454,NA
90,1,58,test,4,syn,pos,b_pos_2,b_pos_1,EHRENVOLL,UNBESTECHLICH,positiv,1.462251971669886,NA
90,1,59,test,25,eval,neg,a_neg_1,b_neg_2,PRÜDE,PARTEIISCH,negativ,1.3231617973442213,NA
90,1,60,test,23,un,pos,b_neg_1,a_pos_2,UNBEGABT,SENSIBEL,positiv,0.6672794294202925,NA
90,2,1,warm,4,un,neg,a_pos_1,b_neg_2,NATÜRLICH,RISKANT,negativ,0.8314164615198792,NA
90,2,2,warm,6,syn,pos,a_pos_2,a_pos_1,ECHT,AUTHENTISCH,positiv,0.6803724081503729,NA
90,2,3,warm,3,ant,neg,b_pos_1,b_neg_2,ANSTÄNDIG,ILLEGAL,negativ,0.9459280429622375,NA
90,2,4,warm,0,eval,pos,b_pos_1,a_pos_1,OFFEN,PERFEKT,positiv,0.7553725272496445,NA
90,2,5,test,0,ant,pos,b_neg_1,b_pos_2,STREITSUCHEND,EINTRÄCHTIG,positiv,0.9416687614431678,NA
90,2,6,test,19,syn,pos,b_pos_1,b_pos_2,HELL,STRAHLEND,positiv,0.78117961854986,NA
90,2,7,test,25,eval,pos,a_pos_1,b_pos_2,LEIDENSCHAFTLICH,FAIR,positiv,0.7768329355328575,NA
90,2,8,test,17,eval,pos,b_pos_2,a_pos_1,SPANNEND,FRIEDLICH,positiv,1.0223085814920654,NA
90,2,9,test,8,syn,pos,b_pos_1,b_pos_2,VOLLSTÄNDIG,GANZ,positiv,0.5544680103338295,NA
90,2,10,test,22,eval,pos,b_pos_2,a_pos_2,SORGFÄLTIG,SANFT,negativ,0.6468429095951415,NA
90,2,11,test,20,un,pos,b_neg_2,a_pos_1,DRECKIG,AUFGENOMMEN,positiv,0.9149542072510267,NA
90,2,12,test,23,syn,pos,b_pos_2,b_pos_1,TALENTIERT,BEGNADET,positiv,0.8162796650073119,NA
90,2,13,test,24,syn,pos,b_pos_2,b_pos_1,EDEL,WERTVOLL,positiv,0.6360943096980732,NA
90,2,14,test,3,eval,neg,b_neg_1,a_neg_2,GIERIG,MÄKELIG,negativ,1.0312606427394715,NA
90,2,15,test,7,un,pos,b_neg_2,a_pos_2,TÜCKISCH,TATKRÄFTIG,positiv,0.7996761140124291,NA
90,2,16,test,9,syn,neg,a_neg_1,a_neg_2,ÄNGSTLICH,FEIGE,negativ,0.8269329067243186,NA
90,2,17,test,26,syn,pos,a_pos_2,a_pos_1,GÖNNEND,WOHLWOLLEND,negativ,0.7919677612822589,NA
90,2,18,test,11,ant,pos,b_neg_2,b_pos_1,UNATTRAKTIV,SCHÖN,positiv,0.7675075608251466,NA
90,2,19,test,27,ant,neg,a_pos_1,a_neg_2,LEBHAFT,APATHISCH,negativ,0.9517817682526406,NA
90,2,20,test,15,un,neg,b_pos_2,a_neg_2,VIELSEITIG,UNSENSIBEL,negativ,0.8813804858345461,NA
90,2,21,test,2,syn,neg,a_neg_1,a_neg_2,DICK,FETT,positiv,0.7390952452829894,NA
90,2,22,test,6,un,pos,a_neg_1,b_pos_2,PESSIMISTISCH,BELESEN,positiv,0.7803421781616289,NA
90,2,23,test,12,ant,neg,b_pos_1,b_neg_2,LECKER,GESCHMACKLOS,negativ,0.985522313899597,NA
90,2,24,test,16,un,pos,a_neg_1,b_pos_2,UNHÖFLICH,ORIGINELL,positiv,0.6827343300286925,NA
90,2,25,test,13,ant,pos,b_neg_2,b_pos_1,ORDINÄR,NIVEAUVOLL,positiv,0.7697276174094612,NA
90,2,26,test,18,ant,pos,a_neg_2,a_pos_1,UNBARMHERZIG,WARMHERZIG,positiv,0.5029176757548389,NA
90,2,27,test,21,eval,neg,a_neg_1,b_neg_2,FREMD,DÄMLICH,negativ,0.8370905745101933,NA
90,2,28,test,5,syn,neg,a_neg_1,a_neg_2,UNGLÜCKLICH,TRAURIG,negativ,1.077579572165228,NA
90,2,29,test,4,ant,pos,a_neg_1,a_pos_1,FREUDLOS,UNBESCHWERT,positiv,0.9398657073663953,NA
90,2,30,test,10,eval,pos,a_pos_2,b_pos_1,STABIL,FREIGIEBIG,positiv,0.8382587341411315,NA
90,2,31,test,1,syn,pos,a_pos_2,a_pos_1,ANGESEHEN,GESCHÄTZT,positiv,0.6651584115688408,NA
90,2,32,test,14,ant,pos,a_neg_2,a_pos_2,NERVIG,ANGENEHM,positiv,0.9270621718158012,NA
90,2,33,test,5,un,pos,a_neg_1,b_pos_1,UNGLÜCKLICH,GENAU,positiv,0.7183307168193828,NA
90,2,34,test,11,ant,neg,a_pos_1,a_neg_2,GELASSEN,GEREIZT,negativ,0.9303445202046814,NA
90,2,35,test,10,syn,neg,a_neg_1,a_neg_2,WECHSELHAFT,LABIL,negativ,0.8227129542213325,NA
90,2,36,test,26,un,neg,a_pos_2,b_neg_2,GÖNNEND,UNWITZIG,negativ,0.7711366144028806,NA
90,2,37,test,19,eval,neg,b_neg_2,a_neg_1,FINSTER,GETRENNT,negativ,0.9303647160587799,NA
90,2,38,test,27,un,pos,b_neg_2,a_pos_2,SPRUNGHAFT,QUIRLIG,positiv,0.8800937213563235,NA
90,2,39,test,22,eval,neg,b_neg_1,a_neg_2,NACHLÄSSIG,RUPPIG,negativ,0.7161381954188737,NA
90,2,40,test,24,eval,neg,b_neg_2,a_neg_1,SCHÄBIG,HART,positiv,1.205909918941778,NA
90,2,41,test,6,syn,neg,a_neg_2,a_neg_1,HOFFNUNGSLOS,PESSIMISTISCH,negativ,0.8710669972234887,NA
90,2,42,test,0,un,neg,b_pos_1,a_neg_1,HARMONISCH,SCHLECHT,positiv,0.8064900310253346,NA
90,2,43,test,13,ant,neg,b_pos_1,b_neg_1,NIVEAUVOLL,PRIMITIV,negativ,0.7821968209173616,NA
90,2,44,test,1,syn,neg,a_neg_2,a_neg_1,UNPOPULÄR,UNBELIEBT,negativ,0.7894971193891115,NA
90,2,45,test,14,eval,neg,b_neg_1,a_neg_1,UNVERNÜNFTIG,LÄSTIG,negativ,0.9547850534588348,NA
90,2,46,test,16,ant,neg,b_pos_1,b_neg_2,KREATIV,EINFALLSLOS,negativ,0.6540090204116717,NA
90,2,47,test,4,un,neg,b_pos_1,a_neg_2,UNBESTECHLICH,BEDRÜCKT,negativ,0.6663992868951178,NA
90,2,48,test,2,syn,pos,a_pos_1,a_pos_2,SCHLANK,FIT,positiv,0.8763654512523077,NA
90,2,49,test,8,syn,neg,a_neg_2,a_neg_1,NERVÖS,AUFGEWÜHLT,negativ,0.8879476689136133,NA
90,2,50,test,7,ant,neg,b_pos_2,b_neg_2,LOYAL,TÜCKISCH,negativ,0.9409937706530735,NA
90,2,51,test,23,un,neg,a_pos_2,b_neg_2,SENSIBEL,UNFÄHIG,positiv,0.7284754993102643,NA
90,2,52,test,9,un,pos,a_neg_1,b_pos_2,ÄNGSTLICH,ANMUTIG,positiv,0.8794046835640168,NA
90,2,53,test,20,un,neg,b_pos_2,a_neg_1,REIN,VERSTOßEN,negativ,0.9179765703544096,NA
90,2,54,test,3,eval,pos,a_pos_2,b_pos_1,BEGEISTERT,BESCHEIDEN,positiv,1.0250092925339584,NA
90,2,55,test,15,eval,pos,b_pos_1,a_pos_2,ABWECHSLUNGSREICH,EMPATHISCH,positiv,0.9677944125352899,NA
90,2,56,test,18,eval,neg,a_neg_2,b_neg_1,UNBARMHERZIG,DUMM,negativ,0.8257292047188702,NA
90,2,57,test,17,ant,neg,a_pos_2,a_neg_1,SANFTMÜTIG,AGGRESSIV,negativ,0.7617194412707085,NA
90,2,58,test,21,eval,pos,a_pos_1,b_pos_2,VERTRAUT,GESCHEIT,negativ,1.0786811310184647,NA
90,2,59,test,25,un,neg,b_pos_2,a_neg_2,FAIR,VERKLEMMT,negativ,0.7878439172719818,NA
90,2,60,test,12,ant,pos,a_neg_2,a_pos_1,SCHEU,GESELLIG,positiv,0.8172992340939452,NA
90,3,1,warm,5,un,pos,b_neg_1,a_pos_1,PLUMP,PRAGMATISCH,negativ,0.8567461424917033,NA
90,3,2,warm,0,syn,neg,a_neg_1,a_neg_2,UNGENÜGEND,MANGELHAFT,negativ,0.8864648670552318,NA
90,3,3,warm,5,eval,neg,b_neg_2,a_neg_1,IDIOTISCH,KOMPLIZIERT,negativ,0.7927994734859788,NA
90,3,4,warm,1,ant,pos,a_neg_1,a_pos_2,ABSTOßEND,BEZAUBERND,negativ,0.5063247919588423,NA
90,3,5,test,25,syn,neg,a_neg_2,a_neg_1,VERKLEMMT,PRÜDE,positiv,0.690441281978234,NA
90,3,6,test,13,un,pos,b_neg_1,a_pos_1,PRIMITIV,LIEB,negativ,0.7328900474915852,NA
90,3,7,test,3,syn,neg,b_neg_1,b_neg_2,GIERIG,VERSCHWENDERISCH,negativ,1.0568961462367015,NA
90,3,8,test,4,ant,neg,b_pos_2,b_neg_1,EHRENVOLL,KORRUPT,negativ,0.5858421997026353,NA
90,3,9,test,11,un,neg,a_pos_2,b_neg_1,AUSGEGLICHEN,HÄSSLICH,negativ,0.65784329020501,NA
90,3,10,test,8,eval,pos,b_pos_2,a_pos_2,GANZ,ENTSPANNT,positiv,0.7470350037521359,NA
90,3,11,test,17,un,pos,a_neg_1,b_pos_1,AGGRESSIV,INTERESSANT,positiv,0.8812810313686694,NA
90,3,12,test,0,ant,neg,b_pos_1,b_neg_1,HARMONISCH,STREITSUCHEND,negativ,0.672273089971343,NA
90,3,13,test,5,syn,pos,b_pos_1,b_pos_2,GENAU,PRÄZISE,negativ,0.6993730938018645,NA
90,3,14,test,22,un,pos,b_neg_1,a_pos_1,NACHLÄSSIG,ZÄRTLICH,positiv,0.7280538215973069,NA
90,3,15,test,7,eval,neg,b_neg_2,a_neg_1,TÜCKISCH,UNBETEILIGT,negativ,0.7455763828789213,NA
90,3,16,test,2,un,neg,a_pos_1,b_neg_2,SCHLANK,DISTANZLOS,positiv,1.1811562631719497,NA
90,3,17,test,14,syn,pos,b_pos_2,b_pos_1,BEDACHT,WEISE,positiv,0.7809186044671417,NA
90,3,18,test,6,ant,neg,b_pos_1,b_neg_2,GEBILDET,AHNUNGSLOS,negativ,1.5344736838155173,NA
90,3,19,test,24,syn,neg,b_neg_2,b_neg_1,SCHÄBIG,BILLIG,negativ,1.0918326025254181,NA
90,3,20,test,18,un,neg,b_pos_2,a_neg_2,SCHLAU,UNBARMHERZIG,negativ,0.8170127080497958,NA
90,3,21,test,1,eval,pos,a_pos_1,b_pos_1,GESCHÄTZT,FREI,negativ,0.7693914866888969,NA
90,3,22,test,27,eval,pos,a_pos_1,b_pos_1,LEBHAFT,GEFESTIGT,positiv,0.849721648470794,NA
90,3,23,test,16,syn,neg,a_neg_1,a_neg_2,UNHÖFLICH,TAKTLOS,negativ,0.6035307765211416,NA
90,3,24,test,10,un,neg,a_pos_2,b_neg_1,STABIL,GEIZIG,positiv,0.8197896253648614,NA
90,3,25,test,19,ant,pos,a_neg_1,a_pos_1,GETRENNT,ZUSAMMEN,positiv,1.051979413489846,NA
90,3,26,test,12,un,neg,b_pos_2,a_neg_1,KÖSTLICH,SCHÜCHTERN,negativ,1.0803049998992968,NA
90,3,27,test,9,syn,pos,a_pos_2,a_pos_1,TAPFER,MUTIG,positiv,0.7420041332868054,NA
90,3,28,test,21,syn,neg,a_neg_1,a_neg_2,FREMD,DISTANZIERT,negativ,0.808837393699523,NA
90,3,29,test,20,syn,pos,a_pos_1,a_pos_2,AUFGENOMMEN,INTEGRIERT,positiv,1.0837753156240162,NA
90,3,30,test,26,ant,neg,a_pos_2,a_neg_2,GÖNNEND,MISSGÜNSTIG,positiv,0.867852767865886,NA
90,3,31,test,15,syn,pos,b_pos_1,b_pos_2,ABWECHSLUNGSREICH,VIELSEITIG,positiv,1.0273073735647467,NA
90,3,32,test,23,eval,neg,a_neg_1,b_neg_1,GEFÜHLLOS,UNBEGABT,negativ,0.91017349076449,NA
90,3,33,test,25,ant,pos,b_neg_1,b_pos_1,UNGERECHT,UNVOREINGENOMMEN,negativ,1.1338407028381048,NA
90,3,34,test,23,eval,pos,a_pos_2,b_pos_2,SENSIBEL,TALENTIERT,negativ,0.7609330648183855,NA
90,3,35,test,24,ant,pos,a_neg_2,a_pos_1,STRENG,WEICH,positiv,0.68566964778885,NA
90,3,36,test,20,ant,neg,b_pos_1,b_neg_2,SAUBER,DRECKIG,negativ,0.931950595523907,NA
90,3,37,test,21,ant,pos,b_neg_1,b_pos_1,BLÖD,INTELLIGENT,negativ,0.8495333337448294,NA
90,3,38,test,17,un,neg,b_pos_1,a_neg_2,INTERESSANT,ANGRIFFSLUSTIG,positiv,1.3323335972192396,NA
90,3,39,test,7,eval,pos,a_pos_1,b_pos_2,MOTIVIERT,LOYAL,positiv,0.7068628539157826,NA
90,3,40,test,10,un,pos,b_neg_2,a_pos_2,KNAUSERIG,STABIL,positiv,0.6166937677941831,NA
90,3,41,test,0,syn,pos,a_pos_1,a_pos_2,GUT,POSITIV,positiv,0.5241822625206602,NA
90,3,42,test,19,syn,neg,b_neg_2,b_neg_1,FINSTER,DUNKEL,negativ,0.7975636667682147,NA
90,3,43,test,3,ant,pos,a_neg_1,a_pos_1,KRITISCH,ENTHUSIASTISCH,positiv,0.8689253309871517,NA
90,3,44,test,6,ant,pos,a_neg_2,a_pos_2,HOFFNUNGSLOS,ZUVERSICHTLICH,positiv,0.849386329836533,NA
90,3,45,test,12,syn,pos,a_pos_1,a_pos_2,GESELLIG,KONTAKTFREUDIG,negativ,0.732559930231233,NA
90,3,46,test,13,eval,neg,b_neg_1,a_neg_2,PRIMITIV,GEMEIN,negativ,0.8567151729010124,NA
90,3,47,test,16,ant,pos,a_neg_2,a_pos_2,TAKTLOS,GALANT,negativ,0.6881250202987333,NA
90,3,48,test,26,eval,pos,b_pos_2,a_pos_2,SPAßIG,GÖNNEND,positiv,0.6553379578589351,NA
90,3,49,test,18,un,pos,b_neg_1,a_pos_2,DUMM,GÜTIG,positiv,0.7502265320531252,NA
90,3,50,test,14,ant,neg,b_pos_2,b_neg_1,BEDACHT,UNVERNÜNFTIG,negativ,0.8500373335681677,NA
90,3,51,test,15,ant,neg,a_pos_1,a_neg_1,EINFÜHLSAM,GEDANKENLOS,positiv,0.8098586809041538,NA
90,3,52,test,27,eval,neg,b_neg_1,a_neg_1,WANKELMÜTIG,TRÄGE,negativ,0.7665230518104471,NA
90,3,53,test,4,eval,pos,a_pos_1,b_pos_2,UNBESCHWERT,EHRENVOLL,negativ,0.6693585144085389,NA
90,3,54,test,11,un,pos,a_neg_1,b_pos_2,LAUNISCH,HÜBSCH,positiv,0.7414863445915797,NA
90,3,55,test,9,eval,neg,b_neg_2,a_neg_1,UNFEIN,ÄNGSTLICH,negativ,0.8069283140387123,NA
90,3,56,test,2,un,pos,b_neg_1,a_pos_1,AUFDRINGLICH,SCHLANK,positiv,0.6135490322914716,NA
90,3,57,test,5,un,neg,b_pos_1,a_neg_1,GENAU,UNGLÜCKLICH,negativ,0.8226872274075976,NA
90,3,58,test,1,eval,neg,a_neg_1,b_neg_1,UNBELIEBT,GEFANGEN,positiv,0.8712243551282142,NA
90,3,59,test,22,syn,neg,b_neg_1,b_neg_2,NACHLÄSSIG,SCHLUDRIG,negativ,0.7739017985172794,NA
90,3,60,test,8,eval,neg,a_neg_2,b_neg_2,NERVÖS,ZERSTÖRT,positiv,0.8427494760968095,NA
90,4,1,warm,7,un,pos,b_neg_2,a_pos_1,STÜMPERHAFT,HUMAN,negativ,0.7179845663273179,NA
90,4,2,warm,1,syn,neg,a_neg_1,a_neg_2,ABSTOßEND,WIDERLICH,negativ,0.4420650110418284,NA
90,4,3,warm,2,ant,pos,a_neg_2,a_pos_1,NASS,SONNIG,positiv,0.5799451115939439,NA
90,4,4,warm,7,eval,neg,b_neg_1,a_neg_2,TOLLPATSCHIG,UNERBITTLICH,negativ,0.759957823331389,NA
90,4,5,test,9,ant,neg,b_pos_1,b_neg_1,ELEGANT,STILLOS,positiv,0.7546426463479564,NA
90,4,6,test,24,eval,pos,a_pos_1,b_pos_2,WEICH,EDEL,negativ,0.5808899837707218,NA
90,4,7,test,17,syn,neg,b_neg_1,b_neg_2,EINTÖNIG,MONOTON,negativ,0.6829493171065969,NA
90,4,8,test,25,un,pos,b_neg_2,a_pos_2,PARTEIISCH,SINNLICH,positiv,0.6302711659364261,NA
90,4,9,test,23,ant,pos,a_neg_2,a_pos_1,ABGESTUMPFT,FEINFÜHLIG,positiv,0.6578365542804101,NA
